Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
cocoanimal,flipLeftRight,flipUpDown,0.295789474,0.7,0.74,0.709473684,0.173684211,0.746315789,0.753684211,0.733684211,0.148421053,0.670526316,0.678947368,0.677894737,0.053684211,0.032631579,0.053684211,1139.256821,1123.498504,2262.755324,1123.819513,1,1,1,0,1,1
,flipLeftRight,rotateMinus5deg,0.295789474,0.331578947,0.443157895,0.345263158,0.173684211,0.258947368,0.305263158,0.265263158,0.148421053,0.224210526,0.272631579,0.229473684,0.058947368,0.043157895,0.043157895,1125.804248,1121.529439,2247.333687,1122.656673,1,1,1,1,1,1
,flipLeftRight,rotatePlus5deg,0.295789474,0.321052632,0.443157895,0.351578947,0.173684211,0.252631579,0.310526316,0.272631579,0.148421053,0.216842105,0.271578947,0.231578947,0.06,0.049473684,0.051578947,1123.469397,1125.179235,2248.648631,1124.527779,1,1,1,1,1,1
,flipLeftRight,shearMinus20deg,0.295789474,0.321052632,0.438947368,0.358947368,0.173684211,0.247368421,0.295789474,0.281052632,0.148421053,0.210526316,0.262105263,0.241052632,0.083157895,0.071578947,0.068421053,1123.000079,1170.103123,2293.103202,1173.57047,1,1,1,1,1,1
,flipLeftRight,shearPlus20deg,0.295789474,0.353684211,0.458947368,0.355789474,0.173684211,0.261052632,0.310526316,0.283157895,0.148421053,0.233684211,0.278947368,0.24,0.065263158,0.061052632,0.057894737,1124.723249,1173.537921,2298.26117,1174.178146,1,1,1,1,1,1
,flipUpDown,rotateMinus5deg,0.7,0.331578947,0.74,0.717894737,0.746315789,0.258947368,0.754736842,0.767368421,0.670526316,0.224210526,0.681052632,0.697894737,0.062105263,0.053684211,0.067368421,1124.217702,1126.969786,2251.187488,1126.997398,1,1,0,1,0,1
,flipUpDown,rotatePlus5deg,0.7,0.321052632,0.735789474,0.727368421,0.746315789,0.252631579,0.753684211,0.767368421,0.670526316,0.216842105,0.676842105,0.706315789,0.062105263,0.047368421,0.068421053,1125.80218,1128.207937,2254.010116,1127.069174,1,1,0,1,0,1
,flipUpDown,shearMinus20deg,0.7,0.321052632,0.738947368,0.722105263,0.746315789,0.247368421,0.750526316,0.757894737,0.670526316,0.210526316,0.68,0.694736842,0.062105263,0.045263158,0.068421053,1125.606118,1176.446759,2302.052877,1176.079406,1,1,0,1,0,1
,flipUpDown,shearPlus20deg,0.7,0.353684211,0.737894737,0.714736842,0.746315789,0.261052632,0.752631579,0.761052632,0.670526316,0.233684211,0.68,0.694736842,0.057894737,0.047368421,0.068421053,1128.785051,1176.390442,2305.175493,1174.142092,1,1,0,1,0,1
,rotateMinus5deg,shearMinus20degrees,0.331578947,0.321052632,0.445263158,0.397894737,0.258947368,0.247368421,0.329473684,0.352631579,0.224210526,0.210526316,0.294736842,0.309473684,0.066315789,0.065263158,0.063157895,1125.042156,1173.828264,2298.87042,1184.163881,1,1,0,1,0,1
,rotateMinus5deg,shearPlus20degrees,0.331578947,0.353684211,0.467368421,0.383157895,0.258947368,0.261052632,0.350526316,0.318947368,0.224210526,0.233684211,0.312631579,0.274736842,0.042105263,0.043157895,0.037894737,1126.078197,1173.910409,2299.988605,1183.857889,1,1,1,1,1,1
,flipLeftRight,blurImage,0.295789474,0.614736842,0.666315789,0.612631579,0.173684211,0.635789474,0.642105263,0.637894737,0.148421053,0.565263158,0.574736842,0.565263158,0.054736842,0.033684211,0.046315789,1134.274844,1113.939887,2248.21473,1114.344384,1,0,1,1,1,0
,flipUpDown,blurImage,0.7,0.614736842,0.792631579,0.829473684,0.746315789,0.635789474,0.814736842,0.911578947,0.670526316,0.565263158,0.748421053,0.822105263,0.107368421,0.111578947,0.118947368,1113.78062,1121.320731,2235.101351,1115.20629,0,1,0,1,0,1
,rotateMinus5deg,blurImage,0.331578947,0.614736842,0.657894737,0.609473684,0.258947368,0.635789474,0.644210526,0.646315789,0.224210526,0.565263158,0.576842105,0.563157895,0.061052632,0.048421053,0.053684211,1112.51465,1112.267799,2224.782448,1114.016685,1,0,0,1,1,0
,rotatePlus5deg,shearMinus20degrees,0.321052632,0.321052632,0.455789474,0.389473684,0.252631579,0.247368421,0.337894737,0.32,0.216842105,0.210526316,0.304210526,0.284210526,0.065263158,0.052631579,0.050526316,1111.566442,1158.079421,2269.645863,1168.641613,1,1,1,1,1,1
,rotatePlus5deg,shearPlus20degrees,0.321052632,0.353684211,0.456842105,0.412631579,0.252631579,0.261052632,0.337894737,0.362105263,0.216842105,0.233684211,0.306315789,0.311578947,0.073684211,0.072631579,0.069473684,1112.263255,1158.549947,2270.813203,1168.226039,1,1,0,1,0,1
,rotatePlus5deg,blurImage,0.321052632,0.614736842,0.656842105,0.613684211,0.252631579,0.635789474,0.646315789,0.646315789,0.216842105,0.565263158,0.577894737,0.572631579,0.051578947,0.045263158,0.052631579,1112.628643,1112.870812,2225.499455,1113.051658,1,0,0,1,1,1
,shearMinus20degrees,blurImage,0.321052632,0.614736842,0.664210526,0.64,0.247368421,0.635789474,0.650526316,0.668421053,0.210526316,0.565263158,0.576842105,0.597894737,0.065263158,0.055789474,0.067368421,1158.093119,1111.955312,2270.048431,1161.926998,1,1,0,1,0,1
,shearPlus20degrees,blurImage,0.353684211,0.614736842,0.66,0.618947368,0.261052632,0.635789474,0.646315789,0.68,0.233684211,0.565263158,0.581052632,0.587368421,0.068421053,0.072631579,0.069473684,1157.634994,1115.947712,2273.582706,1163.510623,1,1,0,1,0,1
,flipLeftRight,brightnessPlus20,0.295789474,0.188421053,0.367368421,0.295789474,0.173684211,0.133684211,0.241052632,0.204210526,0.148421053,0.113684211,0.204210526,0.167368421,0.044210526,0.029473684,0.032631579,1523.879697,1522.572106,3046.451803,1570.125421,1,0,1,1,1,1
,flipUpDown,brightnessPlus20,0.7,0.188421053,0.72,0.702105263,0.746315789,0.133684211,0.753684211,0.754736842,0.670526316,0.113684211,0.676842105,0.675789474,0.038947368,0.022105263,0.032631579,1512.650643,1509.592372,3022.243014,1498.631836,1,1,0,1,1,1
