Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
cocoanimal,flipLeftRight,flipUpDown,0.198947368,0.652631579,0.68,0.656842105,0.131578947,0.695789474,0.705263158,0.697894737,0.097894737,0.618947368,0.628421053,0.617894737,0.041052632,0.015789474,0.030526316,894.9737902,838.1094895,1733.08328,825.6446684,1,1,1,1,1,0
,flipLeftRight,rotateMinus5deg,0.198947368,0.272631579,0.357894737,0.264210526,0.131578947,0.226315789,0.264210526,0.214736842,0.097894737,0.187368421,0.225263158,0.169473684,0.054736842,0.050526316,0.044210526,851.4765592,840.5657978,1692.042357,848.2377397,1,0,1,0,1,0
,flipLeftRight,rotatePlus5deg,0.198947368,0.243157895,0.34,0.28,0.131578947,0.198947368,0.248421053,0.218947368,0.097894737,0.163157895,0.206315789,0.178947368,0.074736842,0.050526316,0.051578947,2276.449781,896.0381472,3172.487929,885.8038846,1,1,1,1,1,1
,flipLeftRight,shearMinus20deg,0.198947368,0.302105263,0.376842105,0.304210526,0.131578947,0.277894737,0.313684211,0.264210526,0.097894737,0.226315789,0.264210526,0.223157895,0.074736842,0.050526316,0.053684211,873.0408208,920.0181545,1793.058975,919.6294129,1,1,1,0,1,0
,flipLeftRight,shearPlus20deg,0.198947368,0.306315789,0.385263158,0.309473684,0.131578947,0.287368421,0.315789474,0.273684211,0.097894737,0.237894737,0.269473684,0.230526316,0.072631579,0.048421053,0.051578947,869.310454,924.4771851,1793.787639,918.8191841,1,1,1,0,1,0
,flipUpDown,rotateMinus5deg,0.652631579,0.272631579,0.686315789,0.672631579,0.695789474,0.226315789,0.706315789,0.710526316,0.618947368,0.187368421,0.636842105,0.628421053,0.063157895,0.037894737,0.048421053,871.548773,871.4786074,1743.02738,875.398623,1,1,0,1,1,1
,flipUpDown,rotatePlus5deg,0.652631579,0.243157895,0.678947368,0.641052632,0.695789474,0.198947368,0.705263158,0.715789474,0.618947368,0.163157895,0.629473684,0.605263158,0.055789474,0.041052632,0.043157895,877.4636108,872.2009605,1749.664571,873.5820228,1,0,0,1,1,0
,flipUpDown,shearMinus20deg,0.652631579,0.302105263,0.692631579,0.672631579,0.695789474,0.277894737,0.713684211,0.72,0.618947368,0.226315789,0.637894737,0.641052632,0.070526316,0.047368421,0.06,870.5440564,920.6627559,1791.206812,923.6517402,1,1,0,1,0,1
,flipUpDown,shearPlus20deg,0.652631579,0.306315789,0.688421053,0.666315789,0.695789474,0.287368421,0.716842105,0.721052632,0.618947368,0.237894737,0.64,0.635789474,0.066315789,0.047368421,0.058947368,871.1747699,922.2750276,1793.449798,921.0589477,1,1,0,1,1,1
,rotateMinus5deg,shearMinus20degrees,0.272631579,0.302105263,0.397894737,0.366315789,0.226315789,0.277894737,0.330526316,0.362105263,0.187368421,0.226315789,0.283157895,0.302105263,0.082105263,0.077894737,0.082105263,873.7086755,922.9590363,1796.667712,931.5582839,1,1,0,1,0,1
,rotateMinus5deg,shearPlus20degrees,0.272631579,0.306315789,0.404210526,0.327368421,0.226315789,0.287368421,0.341052632,0.304210526,0.187368421,0.237894737,0.301052632,0.26,0.054736842,0.043157895,0.043157895,882.3107792,924.6247972,1806.935576,936.3016016,1,1,1,1,1,1
,flipLeftRight,blurImage,0.198947368,0.453684211,0.513684211,0.444210526,0.131578947,0.482105263,0.496842105,0.477894737,0.097894737,0.406315789,0.426315789,0.402105263,0.048421053,0.035789474,0.047368421,925.5668892,871.4182131,1796.985102,877.9774746,1,0,1,0,1,0
,flipUpDown,blurImage,0.652631579,0.453684211,0.72,0.78,0.695789474,0.482105263,0.758947368,0.856842105,0.618947368,0.406315789,0.673684211,0.763157895,0.133684211,0.127368421,0.137894737,868.7797022,926.980224,1795.759926,902.1795612,0,1,0,1,0,1
,rotateMinus5deg,blurImage,0.272631579,0.453684211,0.527368421,0.504210526,0.226315789,0.482105263,0.506315789,0.544210526,0.187368421,0.406315789,0.436842105,0.464210526,0.084210526,0.078947368,0.081052632,926.3457016,1079.074005,2005.419707,2869.844696,1,1,0,1,0,1
,rotatePlus5deg,shearMinus20degrees,0.243157895,0.302105263,0.387368421,0.337894737,0.198947368,0.277894737,0.327368421,0.32,0.163157895,0.226315789,0.276842105,0.265263158,0.054736842,0.043157895,0.042105263,1316.824182,1442.975565,2759.799747,1423.847112,1,1,1,1,1,1
,rotatePlus5deg,shearPlus20degrees,0.243157895,0.306315789,0.373684211,0.363157895,0.198947368,0.287368421,0.316842105,0.353684211,0.163157895,0.237894737,0.274736842,0.302105263,0.084210526,0.082105263,0.077894737,1254.41307,1080.330869,2334.743939,1088.215109,1,1,0,1,0,1
,rotatePlus5deg,blurImage,0.243157895,0.453684211,0.511578947,0.498947368,0.198947368,0.482105263,0.501052632,0.534736842,0.163157895,0.406315789,0.426315789,0.462105263,0.075789474,0.071578947,0.078947368,1026.555069,1028.568277,2055.123346,1030.921078,1,1,0,1,0,1
,shearMinus20degrees,blurImage,0.302105263,0.453684211,0.535789474,0.522105263,0.277894737,0.482105263,0.522105263,0.58,0.226315789,0.406315789,0.450526316,0.495789474,0.094736842,0.102105263,0.102105263,1085.545206,1038.511788,2124.056995,1293.555858,1,1,0,1,0,1
,shearPlus20degrees,blurImage,0.306315789,0.453684211,0.522105263,0.533684211,0.287368421,0.482105263,0.516842105,0.582105263,0.237894737,0.406315789,0.442105263,0.501052632,0.1,0.098947368,0.107368421,942.0355927,877.7739294,1819.809522,924.0855925,0,1,0,1,0,1
,flipLeftRight,brightnessPlus20,0.198947368,0.155789474,0.277894737,0.213684211,0.131578947,0.128421053,0.191578947,0.168421053,0.097894737,0.098947368,0.156842105,0.126315789,0.036842105,0.028421053,0.024210526,921.2014317,902.271732,1823.473164,916.6271796,1,1,1,1,1,1
,flipUpDown,brightnessPlus20,0.652631579,0.155789474,0.671578947,0.670526316,0.695789474,0.128421053,0.707368421,0.717894737,0.618947368,0.098947368,0.629473684,0.641052632,0.061052632,0.035789474,0.050526316,902.1165778,908.2373553,1810.353933,908.9907302,1,1,0,1,0,1
,rotatePlus5deg,brightnessPlus20,0.243157895,0.155789474,0.314736842,0.269473684,0.198947368,0.128421053,0.250526316,0.232631579,0.163157895,0.098947368,0.208421053,0.188421053,0.035789474,0.027368421,0.027368421,910.3847228,908.7622592,1819.146982,909.7890199,1,1,1,1,1,1
,shearPlus20deg,brightnessPlus20,0.306315789,0.155789474,0.375789474,0.325263158,0.287368421,0.128421053,0.330526316,0.302105263,0.237894737,0.098947368,0.277894737,0.252631579,0.042105263,0.022105263,0.027368421,957.857854,909.5811667,1867.439021,961.5268755,1,1,1,1,1,1
,flipLeftRight,brightnessMinus20,0.198947368,0.347368421,0.422105263,0.373684211,0.131578947,0.353684211,0.385263158,0.363157895,0.097894737,0.298947368,0.327368421,0.310526316,0.049473684,0.031578947,0.038947368,907.0327668,911.6407388,1818.673506,907.6312958,1,1,1,1,1,1
,flipUpDown,brightnessMinus20,0.652631579,0.347368421,0.7,0.718947368,0.695789474,0.353684211,0.732631579,0.806315789,0.618947368,0.298947368,0.653684211,0.701052632,0.095789474,0.097894737,0.096842105,2413.431712,863.4098455,3276.841557,833.4033787,0,1,0,1,0,1
,rotatePlus5deg,brightnessMinus20,0.243157895,0.347368421,0.423157895,0.403157895,0.198947368,0.353684211,0.395789474,0.416842105,0.163157895,0.298947368,0.338947368,0.353684211,0.077894737,0.066315789,0.071578947,856.1327632,913.9601029,1770.092866,854.6411624,1,1,0,1,0,1
,shearPlus20deg,brightnessMinus20,0.306315789,0.347368421,0.445263158,0.429473684,0.287368421,0.353684211,0.421052632,0.454736842,0.237894737,0.298947368,0.362105263,0.389473684,0.078947368,0.078947368,0.077894737,890.489947,907.3434376,1797.833385,1011.545249,1,1,0,1,0,1
,flipLeftRight,fisheye,0.198947368,0.441052632,0.497894737,0.46,0.131578947,0.463157895,0.481052632,0.468421053,0.097894737,0.407368421,0.425263158,0.42,0.038947368,0.029473684,0.034736842,857.3943846,3431.925091,4289.319476,3350.838355,1,1,1,1,1,1
,flipUpDown,fisheye,0.652631579,0.441052632,0.708421053,0.725263158,0.695789474,0.463157895,0.734736842,0.793684211,0.618947368,0.407368421,0.66,0.698947368,0.089473684,0.084210526,0.085263158,837.8490545,2967.837978,3805.687033,3165.929235,0,1,0,1,0,1
,rotatePlus5deg,fisheye,0.243157895,0.441052632,0.497894737,0.452631579,0.198947368,0.463157895,0.476842105,0.475789474,0.163157895,0.407368421,0.428421053,0.42,0.034736842,0.034736842,0.033684211,839.6221093,3227.701112,4067.323222,5489.966784,1,1,1,1,1,1
,shearPlus20deg,fisheye,0.306315789,0.441052632,0.514736842,0.472631579,0.287368421,0.463157895,0.498947368,0.488421053,0.237894737,0.407368421,0.445263158,0.430526316,0.052631579,0.043157895,0.046315789,998.7099729,3321.310661,4320.020634,3786.389104,1,1,1,1,1,1
