Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg. MRx U MRy effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg. MRx U MRy effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. MRx U MRy effectiveness of composite MR against composable MRs
cocoanimal,flipLeftRight,flipUpDown,0.328421053,0.558947368,0.630526316,0.557894737,0.534736842,0.966315789,0.976842105,0.965263158,0.16,0.545263158,0.549473684,0.544210526,0.012631579,0.010526316,0.011578947,127.2848014,121.9067941,249.1915955,121.1568742,1,0,1,0,1,0
,flipLeftRight,rotateMinus5deg,0.328421053,0.363157895,0.486315789,0.381052632,0.534736842,0.557894737,0.672631579,0.562105263,0.16,0.191578947,0.266315789,0.185263158,0.074736842,0.052631579,0.04,122.0158416,126.977251,248.9930926,123.5356221,1,1,1,1,1,0
,flipLeftRight,rotatePlus5deg,0.328421053,0.376842105,0.494736842,0.4,0.534736842,0.553684211,0.673684211,0.56,0.16,0.192631579,0.264210526,0.196842105,0.068421053,0.048421053,0.042105263,123.3837291,121.4168107,244.8005398,122.9547875,1,1,1,1,1,1
,flipLeftRight,shearMinus20deg,0.328421053,0.362105263,0.481052632,0.374736842,0.534736842,0.677894737,0.736842105,0.661052632,0.16,0.276842105,0.32,0.270526316,0.061052632,0.055789474,0.051578947,122.2494303,171.8009498,294.0503801,173.4387858,1,1,1,0,1,0
,flipLeftRight,shearPlus20deg,0.328421053,0.353684211,0.465263158,0.390526316,0.534736842,0.658947368,0.721052632,0.667368421,0.16,0.255789474,0.304210526,0.28,0.069473684,0.064210526,0.057894737,122.6525926,175.8012688,298.4538614,178.1491034,1,1,1,1,1,1
,flipUpDown,rotateMinus5deg,0.558947368,0.363157895,0.648421053,0.554736842,0.966315789,0.557894737,0.98,0.962105263,0.545263158,0.191578947,0.552631579,0.543157895,0.011578947,0.008421053,0.011578947,121.0283443,119.9312882,240.9596325,119.8870495,1,0,1,0,1,0
,flipUpDown,rotatePlus5deg,0.558947368,0.376842105,0.650526316,0.562105263,0.966315789,0.553684211,0.981052632,0.965263158,0.545263158,0.192631579,0.551578947,0.545263158,0.012631579,0.008421053,0.011578947,126.1815034,128.1238471,254.3053505,121.7848045,1,1,1,0,1,0
,flipUpDown,shearMinus20deg,0.558947368,0.362105263,0.611578947,0.558947368,0.966315789,0.677894737,0.981052632,0.975789474,0.545263158,0.276842105,0.549473684,0.551578947,0.010526316,0.009473684,0.012631579,120.7743545,168.2566227,289.0309772,169.5340791,1,0,1,1,0,1
,flipUpDown,shearPlus20deg,0.558947368,0.353684211,0.616842105,0.566315789,0.966315789,0.658947368,0.985263158,0.976842105,0.545263158,0.255789474,0.553684211,0.554736842,0.011578947,0.005263158,0.007368421,123.9954639,170.1407288,294.1361927,181.5255678,1,1,1,1,0,1
,rotateMinus5deg,shearMinus20degrees,0.363157895,0.362105263,0.495789474,0.417894737,0.557894737,0.677894737,0.735789474,0.708421053,0.191578947,0.276842105,0.323157895,0.315789474,0.064210526,0.065263158,0.058947368,124.4412171,176.1658782,300.6070953,182.5725193,1,1,1,1,1,1
,rotateMinus5deg,shearPlus20degrees,0.363157895,0.353684211,0.493684211,0.396842105,0.557894737,0.658947368,0.725263158,0.625263158,0.191578947,0.255789474,0.307368421,0.244210526,0.061052632,0.050526316,0.043157895,120.6674123,172.1227709,292.7901832,183.2111796,1,1,1,0,1,0
,flipLeftRight,blurImage,0.328421053,0.504210526,0.584210526,0.512631579,0.534736842,0.909473684,0.922105263,0.9,0.16,0.485263158,0.493684211,0.484210526,0.016842105,0.02,0.022105263,128.4198864,122.5823193,251.0022057,123.1892772,1,1,1,0,1,0
,flipUpDown,blurImage,0.558947368,0.504210526,0.589473684,0.577894737,0.966315789,0.909473684,0.991578947,0.988421053,0.545263158,0.485263158,0.564210526,0.569473684,0.009473684,0.005263158,0.006315789,122.4992939,126.5022371,249.001531,123.0096574,1,1,1,1,0,1
,rotateMinus5deg,blurImage,0.363157895,0.504210526,0.601052632,0.498947368,0.557894737,0.909473684,0.921052632,0.893684211,0.191578947,0.485263158,0.489473684,0.473684211,0.028421053,0.029473684,0.030526316,120.255584,137.5575616,257.8131456,132.9282424,1,0,1,0,1,0
,rotatePlus5deg,shearMinus20degrees,0.376842105,0.362105263,0.5,0.416842105,0.553684211,0.677894737,0.744210526,0.651578947,0.192631579,0.276842105,0.331578947,0.269473684,0.066315789,0.048421053,0.041052632,123.9943406,153.3271539,277.3214945,162.2906793,1,1,1,0,1,0
,rotatePlus5deg,shearPlus20degrees,0.376842105,0.353684211,0.489473684,0.415789474,0.553684211,0.658947368,0.721052632,0.710526316,0.192631579,0.255789474,0.306315789,0.312631579,0.065263158,0.074736842,0.068421053,106.7882093,153.9872997,260.775509,162.8923978,1,1,1,1,0,1
,rotatePlus5deg,blurImage,0.376842105,0.504210526,0.608421053,0.496842105,0.553684211,0.909473684,0.924210526,0.896842105,0.192631579,0.485263158,0.495789474,0.470526316,0.023157895,0.026315789,0.028421053,107.2809678,108.5931115,215.8740793,120.7364151,1,0,1,0,1,0
,shearMinus20degrees,blurImage,0.362105263,0.504210526,0.571578947,0.517894737,0.677894737,0.909473684,0.935789474,0.924210526,0.276842105,0.485263158,0.509473684,0.501052632,0.026315789,0.026315789,0.024210526,177.1199383,124.4577429,301.5776812,176.201189,1,1,1,1,1,1
,shearPlus20degrees,blurImage,0.353684211,0.504210526,0.570526316,0.513684211,0.658947368,0.909473684,0.929473684,0.923157895,0.255789474,0.485263158,0.496842105,0.498947368,0.025263158,0.029473684,0.030526316,170.496465,123.2496446,293.7461096,173.840312,1,1,1,1,0,1
,flipLeftRight,brightnessPlus20,0.328421053,0.070526316,0.349473684,0.328421053,0.534736842,0.46,0.611578947,0.543157895,0.16,0.042105263,0.177894737,0.166315789,0.023157895,0.011578947,0.012631579,167.9068626,172.5252733,340.4321359,172.8140918,1,0,1,1,1,1
