Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite
cocoanimal,flipLeftRight,flipUpDown,0.396842105,0.722105263,0.801052632,0.722105263,0.378947368,0.878947368,0.904210526,0.888421053,0.192631579,0.685263158,0.698947368,0.690526316,0.033684211,0.033684211,0.037894737,41.5787413,39.3050431,80.8837844,40.1866061
,flipLeftRight,rotateMinus5deg,0.396842105,0.443157895,0.592631579,0.452631579,0.378947368,0.349473684,0.489473684,0.352631579,0.192631579,0.192631579,0.289473684,0.197894737,0.081052632,0.051578947,0.050526316,39.4310284,41.0522772,80.4833056,41.5852364
,flipLeftRight,rotatePlus5deg,0.396842105,0.454736842,0.58,0.468421053,0.378947368,0.361052632,0.493684211,0.381052632,0.192631579,0.206315789,0.292631579,0.224210526,0.089473684,0.057894737,0.052631579,39.4835124,40.6141929,80.0977053,41.5184436
,flipLeftRight,shearMinus20deg,0.396842105,0.465263158,0.595789474,0.467368421,0.378947368,0.494736842,0.575789474,0.490526316,0.192631579,0.307368421,0.375789474,0.311578947,0.071578947,0.083157895,0.075789474,39.6701947,106.9790233,146.649218,107.0138333
,flipLeftRight,shearPlus20deg,0.396842105,0.447368421,0.588421053,0.471578947,0.378947368,0.473684211,0.563157895,0.484210526,0.192631579,0.3,0.365263158,0.3,0.086315789,0.078947368,0.072631579,39.5492706,105.9075136,145.4567842,106.0626462
,flipUpDown,rotateMinus5deg,0.722105263,0.443157895,0.809473684,0.735789474,0.878947368,0.349473684,0.895789474,0.878947368,0.685263158,0.192631579,0.7,0.691578947,0.043157895,0.035789474,0.043157895,39.2580565,40.668348,79.9264045,40.8918131
,flipUpDown,rotatePlus5deg,0.722105263,0.454736842,0.812631579,0.722105263,0.878947368,0.361052632,0.9,0.88,0.685263158,0.206315789,0.701052632,0.68,0.041052632,0.038947368,0.041052632,39.4276826,40.8002104,80.227893,40.8317849
,flipUpDown,shearMinus20deg,0.722105263,0.465263158,0.787368421,0.735789474,0.878947368,0.494736842,0.906315789,0.913684211,0.685263158,0.307368421,0.707368421,0.712631579,0.045263158,0.04,0.047368421,39.5827325,106.998201,146.5809335,107.4673557
,flipUpDown,shearPlus20deg,0.722105263,0.447368421,0.782105263,0.743157895,0.878947368,0.473684211,0.903157895,0.915789474,0.685263158,0.3,0.703157895,0.722105263,0.048421053,0.050526316,0.055789474,39.3928803,105.8513269,145.2442072,107.1907274
,rotateMinus5deg,shearMinus20degrees,0.443157895,0.465263158,0.613684211,0.522105263,0.349473684,0.494736842,0.561052632,0.550526316,0.192631579,0.307368421,0.366315789,0.370526316,0.088421053,0.083157895,0.082105263,40.9600859,106.0558676,147.0159535,120.7094284
,rotateMinus5deg,shearPlus20degrees,0.443157895,0.349473684,0.447368421,0.473684211,0.611578947,0.556842105,0.48,0.450526316,0.192631579,0.307368421,0.366315789,0.370526316,0.088421053,0.083157895,0.082105263,0.192631579,0.3,0.367368421,0.288421053
,flipLeftRight,blurImage,0.396842105,0.718947368,0.8,0.710526316,0.378947368,0.887368421,0.904210526,0.889473684,0.192631579,0.686315789,0.696842105,0.68,0.026315789,0.026315789,0.029473684,106.7681807,108.5280282,215.2962089,109.1721173
,flipUpDown,blurImage,0.722105263,0.718947368,0.82,0.790526316,0.878947368,0.887368421,0.972631579,0.977894737,0.685263158,0.686315789,0.774736842,0.782105263,0.021052632,0.021052632,0.025263158,103.6532016,108.8179705,212.4711721,109.0749563
,rotateMinus5deg,blur_image,0.443157895,0.718947368,0.818947368,0.682105263,0.349473684,0.887368421,0.897894737,0.867368421,0.192631579,0.686315789,0.696842105,0.653684211,0.02,0.027368421,0.024210526,106.0123282,106.8226763,212.8350045,113.4753507
,rotatePlus5deg,shearMinus20degrees,0.454736842,0.465263158,0.624210526,0.487368421,0.361052632,0.494736842,0.566315789,0.465263158,0.206315789,0.307368421,0.369473684,0.289473684,0.062105263,0.06,0.056842105,106.1910054,235.6225396,341.813545,263.5646443
,rotatePlus5deg,shearPlus20degrees,0.454736842,0.447368421,0.606315789,0.509473684,0.361052632,0.473684211,0.542105263,0.538947368,0.206315789,0.3,0.354736842,0.358947368,0.077894737,0.094736842,0.084210526,105.9898819,234.0118565,340.0017384,262.9320152
